Date,High,Low,Open,Close,Volume,Adj Close
2012-01-23,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-24,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-25,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-26,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-27,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-30,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-01-31,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-01,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-02,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-03,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-06,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-07,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-08,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-09,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,3918.0,0.00570000009611249
2012-02-10,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,16502.0,0.00570000009611249
2012-02-13,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-14,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-15,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-16,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-17,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-21,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-22,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-23,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-24,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-27,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.00570000009611249,0.0,0.00570000009611249
2012-02-28,0.006000000052154064,0.0052999998442828655,0.006000000052154064,0.0052999998442828655,42500.0,0.0052999998442828655
2012-02-29,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-01,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-02,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-05,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-06,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-07,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-08,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0052999998442828655,0.0,0.0052999998442828655
2012-03-09,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,300.0,0.0020000000949949026
2012-03-12,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-13,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-14,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-15,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-16,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-19,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-20,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-21,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-22,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-23,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-26,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-27,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-28,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-29,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-03-30,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-02,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-03,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-04,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-05,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-09,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-10,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-11,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-12,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-13,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-16,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-17,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-18,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-19,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-20,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-23,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-24,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-25,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-26,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-27,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-04-30,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-01,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-02,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-03,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-04,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-07,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-08,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-09,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-10,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-11,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-14,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-15,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-16,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-17,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-18,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-21,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-22,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-23,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-24,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-25,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-29,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-30,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-05-31,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-01,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-04,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-05,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-06,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-07,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-08,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-11,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-12,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0020000000949949026,0.0,0.0020000000949949026
2012-06-13,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,306.0,0.03849999979138374
2012-06-14,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-15,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-18,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-19,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-20,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-21,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-22,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-25,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-26,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.03849999979138374,0.0,0.03849999979138374
2012-06-27,0.004000000189989805,0.000699999975040555,0.004000000189989805,0.000699999975040555,5809.0,0.000699999975040555
2012-06-28,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-06-29,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-02,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-03,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-05,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-06,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-09,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-10,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-11,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-12,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-13,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-16,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-17,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-18,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-19,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-20,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,5000.0,0.000699999975040555
2012-07-23,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-24,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-25,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-26,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-27,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-30,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-07-31,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-01,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-02,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-03,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-06,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-07,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-08,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-09,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-10,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-13,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
2012-08-14,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.0,0.000699999975040555
